Unnamed: 0,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT)
,October,451100040610300,68.12
,September,451100036600200,12.66
,September,171409090610400,1.49
,July,614301500,28.48
,September,461800505310901,122.13
,July,171409090400200,34.28
,July,151100025330200,60.55
,August,611100500,269.52
,August,171100090400700,14.31
,August,451900022400301,56.95
,August,471100063610300,26.8
,October,171409090301200,234.22
,August,461800014130201,35.21
,September,981200008800300,56.53
,September,611050016,26.0
,July,471100056400900,12.8
,August,471100053330226,2.32
,July,615330700,88.14
,August,171409090301200,159.66
,September,471100053600200,58.5
,August,451900042301501,24.96
,July,615210100,3.8
,November,6318109,239.04
,September,615409900,28.93
,November,614710200,155.98
,November,161200012810501,91.85
,September,461800006110101,91.58
,November,6211602,73.78
,November,615400300,168.44
,September,461800008400301,12.49
,November,471310010130200,92.06
,November,171407777100600,5.98
,November,6211903,20.8
,October,471100068400700,62.89
,October,171407777400500,1065.62
,October,461800010301501,172.91
,October,171100090400200,35.59
,October,171406565350100,30.2
,October,613100500,21.62
,October,4500022,184.76
,May,171409090710200,70.99
,June,171406565410100,131.34
,October,171406565400400,9.32
,June,461800020310201,14.56
,April,451100030330200,6.65
,April,471100058301500,20.98
,May,471100063600200,48.96
,October,6211602,24.9
,May,613400400,59.84
,May,471100056400200,32.02
,October,613400500,94.52
,August,471100063331700,78.12
,October,171407777400600,15.44
,July,614700200,46.76
,May,471100056400500,9.12
,July,451100028030100,42.88
,June,451100042400500,0.89
,June,461800007400401,6.15
,August,171310008130200,8.96
,August,471100050400600,57.02
,September,451900020400301,23.19
,August,171409090710100,42.22
,July,613409900,10.92
,October,471100053130200,17.08
,July,471100050401026,16.36
,December,171615075130205,642.36
,December,6318109,590.68
,December,6321309,4182.82
,December,151200016800300,18160.58
,December,6324302,3054.59
,December,615330200,541.44
,December,161200010800101,4594.5
,December,171610050130200,4386.83
,December,171615075130200,6425.45
,December,471310008130200,385.31
,December,451100020400300,694.48
,December,461800014301501,1019.71
,December,171100090330200,1110.72
,December,471100056330200,1082.84
,December,451100030330200,1161.76
,December,471100058330200,599.37
,December,461800008530201,1190.65
,December,161800006301201,5642.0
,December,461800505110101,1640.34
,November,471100045331600,20.95
,November,171100063400300,367.42
,December,461800008110101,374.49
,December,471100050330200,2916.13
,December,171407777331000,1548.32
,December,451900020301501,1001.35
,December,171406565331000,148.0
,December,171100075400300,370.71
,December,151200016800305,169.4
,December,611100707,135.32
,December,451100023710100,873.92
,December,461800505400301,54.5
,November,461800000030010,221.82
,December,161200010800303,357.04
,November,461800605301501,25.37
,December,171307506130200,622.2
,December,615210500,566.44
,November,161800010330201,45.53
,December,461800007110101,176.98
,December,171407777610100,332.27
,December,451100042400300,548.15
,December,623210200,40.26
,December,471100045331600,108.2
,December,461800012325201,65.93
,December,171406565100704,65.5
,November,451100040610300,7.24
,December,461800016310201,148.24
,December,461800016400701,91.81
,December,471100063600100,14.86
,December,451900022400301,12.7
,December,171409090400300,501.44
,November,614710300,14.75
,December,6211601,1317.94
,November,161800008110101,4.61
,December,171100071330200,163.22
,January,151200032800300,9516.88
,January,461800014330201,295.84
,January,461800505301201,13239.87
,January,471100058610300,106.38
,January,471100058330200,396.81
,January,161200008800302,6087.96
,January,171100080330200,1046.42
,January,6311303,3369.12
,January,451100036330200,2862.21
,January,171409090700200,1101.29
,January,451900028301501,109.96
,January,471100050330200,1328.92
,January,471100050400700,226.28
,January,461800007530101,2041.65
,January,161200010800303,311.9
,December,451100036332000,48.76
,January,161200008800303,335.78
,January,471100050400200,120.14
,January,171620075130200,1097.11
,January,614040000,1197.66
,January,151200020800305,436.7
,January,6219103,1351.39
,January,6321306,980.46
,January,6321309,2430.9
,January,451100022400700,3.08
,December,471100056330226,55.1
,January,451100042400300,155.71
,January,171100065400330,123.59
,January,461800018310201,56.24
,January,471100045330200,1377.22
,January,471100068400300,357.81
,January,471100071400300,278.36
,January,471100071331700,324.84
,December,171407777100500,378.98
,January,171409090301200,24.54
,December,461800008501601,74.42
,January,614400600,23.64
,January,461800014301501,223.8
,December,471100058610300,137.46
,January,471100056130200,572.88
,December,461800020310101,133.03
,December,471100050400700,28.26
,January,471100045331600,182.62
,January,151100020030100,45.64
,December,461800008520701,54.02
,January,614100400,161.06
,January,615100716,724.12
,December,471100053600100,50.94
,January,6211602,47.8
,January,461800018310101,42.44
,December,615100719,33.9
,December,981200016800100,0.7
,January,171409090210200,213.64
,January,471100063331600,93.83
,January,471100063410300,36.8
,January,451100032400700,174.97
,November,451900020400701,4.21
,January,451900025330201,361.48
,January,471100045600200,38.55
,December,171100065400330,94.49
,December,612350100,331.9
,December,451100032409900,69.76
,January,451100036050100,31.2
,December,471104605400326,30.9
,January,461800007301601,93.34
,November,171407777350100,61.46
,December,161200012800103,3.97
,December,615401000,85.68
,November,171100065400300,63.09
,December,461800008501501,75.18
,November,171100090400500,25.06
,February,151200032810500,314.99
,February,161200008800301,19671.22
,February,171409090210100,2250.08
,February,611100716,1638.14
,February,6311301,16242.65
,February,6219103,665.24
,February,6321306,1119.02
,February,614400200,1359.84
,February,171100075330200,434.33
,February,161200010800303,204.88
,February,471100068330200,181.11
,January,461800008501601,249.29
,February,171406565020000,10.88
,February,451103305330200,368.91
,February,171100080330200,358.98
,February,451100030400700,45.98
,February,171407777400300,1120.24
,February,614100716,1406.69
,February,451100025400300,457.29
,February,461800012330201,1068.89
,February,461800008301201,270.27
,February,461800008530101,223.21
,January,614050016,86.49
,January,171409090410300,126.12
,February,151200025810500,923.31
,March,151200025800300,14256.85
,February,451100042400300,63.07
,February,614301200,277.62
,February,6321307,91.14
,February,451100032400700,68.06
,February,461800008501501,305.7
,March,471100050600200,105.66
,March,171409090400300,405.45
,January,471100063610300,156.9
,January,981305006130200,307.57
,January,151200036800305,62.26
,February,171309006130200,235.94
,February,6211902,62.56
,March,461800007520101,62.43
,March,161200012810502,467.73
,February,613400400,174.83
,March,6211411,1539.4
,March,6211900,538.76
,March,169900000999999,56.65
,February,461800000030010,107.48
,February,451100040400700,6.6
,February,611100416,222.68
,January,171100050330300,33.32
,February,451100028130200,0.95
,January,171409090100500,238.88
,February,171407575020000,62.37
,February,981200012800300,783.94
,February,171409090400300,379.01
,March,461800007520501,473.09
,March,451900028330201,50.55
,March,171409090700100,126.46
,February,6411800,198.44
,January,611100516,698.12
,February,471100056301500,68.91
,February,615401100,199.68
,March,461800010400301,63.05
,January,461800008530101,673.82
,February,171612565130205,709.91
,April,161200012800301,2396.78
,April,613100500,93.52
,April,6313101,63280.02
,April,151200016800300,4874.92
,May,171407777210200,201.79
,May,471100053400300,215.6
,May,471307508130200,922.79
,May,451103305400300,11.34
,May,471100050600100,46.14
,June,461800012330201,222.6
,June,171406565100700,633.16
,June,451100025330200,1975.3
,June,151200020800300,6743.01
,June,151200025800300,5094.94
,February,471100045301200,105.82
,March,151200020810500,1176.14
,March,614210500,89.42
,April,151200020800300,2110.32
,May,451100023710100,569.46
,May,161200008810501,125.99
,May,6311303,772.3
,May,4500023,2940.1
,May,471310008130200,73.89
,May,171620075130205,196.68
,May,615210200,219.06
,March,451100042330200,331.51
,March,461850508030099,105.96
,April,151200032800300,998.07
,May,169900000999999,61.63
,May,6213200,25210.14
,April,6411800,49.44
,April,471100045330200,8.46
,April,471100065330200,5.0
,May,611100716,192.28
,May,471100056330200,335.05
,May,171407777330800,60.74
,May,171407777211000,28.5
,June,471100071400300,323.59
,May,451103305330200,210.72
,June,6313101,110874.78
,June,6321306,408.18
,January,471100053330226,25.95
,March,451100036400100,31.48
,May,6211903,20.82
,June,161200010800302,3370.61
,June,461800505301201,1652.95
,March,461800012301501,106.14
,March,471100056330226,36.85
,March,161800505301201,217.76
,May,171406565331000,203.6
,May,171309008130200,27.67
,June,451100032130200,588.63
,June,161200012800301,7384.87
,March,451120064710100,2245.65
,April,614050016,444.1
,April,4500060,31.94
,March,171409090100700,179.98
,May,161850514030012,139.14
,May,611100707,97.96
,May,613100500,11.04
,June,171406565400500,91.4
,February,615040000,49.02
,February,171409090409900,25.3
,January,613400300,14.86
,February,171406565400200,31.18
,March,614050100,56.82
,May,161800012400301,2.36
,June,171100060330200,134.7
,June,471100063330200,145.44
,March,471100053400500,264.35
,May,461800505520601,58.46
,April,472115080130200,60.66
,May,171406565330204,30.28
,April,171100090400300,3.32
,March,171407777330850,371.69
,May,6211902,41.8
,February,171310010130200,3.33
,March,171406565400304,31.24
,March,171100063330200,6.28
,March,171100065400330,121.87
,March,6211901,103.7
,January,471100050401026,22.66
,February,171406565410100,1.94
,March,171407777331000,199.3
,March,461800012325201,2.03
,March,171100063401130,24.92
,February,461800010110101,10.46
,May,614700200,95.8
,January,461800007500301,4.2
,March,171407777401000,9.86
,February,471100058330226,30.18
,March,451900032301501,19.02
,July,461800008301201,1863.03
,July,161800006301201,372.21
,July,451100028330200,2466.83
,June,623345100,782.46
,June,171406565400300,507.55
,June,451100020400300,151.27
,July,4500023,1179.68
,July,614100700,32281.31
,July,471100056400300,655.98
,July,171407777210200,60.18
,July,451900022330201,939.33
,July,461800016301501,1968.24
,June,461800007530201,1904.79
,June,471100050600200,93.42
,June,471100058330200,329.48
,July,461800505520301,1319.38
,June,471306506130200,2319.84
,July,171409090330200,269.58
,July,471100063401100,15.06
,July,471100056600200,266.25
,July,471310010130200,1403.56
,July,171407777100600,22.42
,July,612401000,150.9
,July,451100040410300,10.68
,July,161200012120201,441.54
,June,6211601,1655.28
,June,451900028330201,42.0
,July,471100045400326,35.14
,July,471100056400326,78.14
,July,471100053330226,51.85
,July,471100050130200,52.63
,July,171409090210200,217.61
,June,161200012810501,31.86
,July,171407777330850,64.52
,July,615210500,348.46
,July,451120064710100,2218.58
,June,451100023710100,351.51
,July,451100036400300,109.76
,July,171100060401130,265.01
,July,461800012301501,764.68
,July,461800008530201,465.46
,July,614050016,168.48
,July,161200012810503,2.41
,July,6211900,479.66
,July,461800007520701,320.5
,June,615210119,27.18
,June,161200010120201,125.74
,June,611100507,267.08
,July,161200012810501,181.56
,July,171100063030100,11.57
,July,615211000,74.2
,June,471100045331600,163.0
,June,471309006130200,69.09
,June,471100071330226,9.18
,July,612330200,97.78
,July,614400500,643.92
,July,614210500,1045.54
,June,615210200,93.0
,June,6211602,24.42
,June,171407777350100,200.71
,June,471100053400326,2.16
,June,171500150130205,246.97
,July,171100068400330,10.36
,July,471100050610300,42.05
,June,471100071130226,4.7
,June,451100036332000,142.46
,June,981306506130200,6.74
,July,981200012800300,347.66
,June,161200010800102,1.49
,June,471100053130200,47.26
,June,171409090400400,51.36
,June,615100716,31.8
,June,171615075130205,15.12
,October,6313101,123133.98
,August,151200016800300,9125.6
,August,4500016,3888.04
,August,171100080330200,1382.07
,August,451100025130200,2145.86
,August,451100040330200,664.2
,August,471500125130200,95.11
,October,461800010110101,151.98
,October,461800012301501,25.04
,October,6219105,126.48
,October,171310008130200,107.36
,August,461800505520901,350.07
,August,981200012800300,1435.78
,September,471100063600100,159.89
,September,471104605330200,1762.04
,September,451900020130201,757.09
,September,151200032800300,5896.62
,October,471100053600200,80.13
,July,461800505300101,333.82
,August,471307508130200,193.15
,August,611100516,2161.26
,August,471100053400300,1061.98
,August,461800007520901,51.78
,October,451100025130200,365.8
,October,461850508070099,186.46
,October,471100068330200,406.41
,November,471100071330200,31.33
,November,471100053400300,1277.25
,August,171100090400700,38.74
,September,6211901,239.6
,September,461800505520701,71.64
,September,171407777400300,1070.13
,October,171407777100700,279.55
,October,171409090400100,420.56
,August,451100020400300,203.3
,August,461800014330201,403.44
,August,451900028330201,75.74
,September,461800505520101,778.51
,October,471104605400300,1749.88
,October,461800007301201,151.44
,August,461800505520601,300.37
,September,623345100,1031.44
,September,451100025130200,1423.72
,October,171409090400300,249.62
,October,171409090100700,380.2
,October,161200008810501,393.28
,September,451100032130200,776.98
,September,161200012810502,88.41
,August,615330200,46.08
,August,151200025800305,134.55
,October,6321102,322.62
,September,615100700,93.72
,September,171406565100704,175.72
,October,151200016800305,404.2
,August,471100058610326,24.14
,August,471100053400200,13.5
,August,981607540130200,401.42
,August,171407777100700,808.12
,August,171100090400300,227.81
,October,451100028330226,10.04
,September,221014028400300,420.94
,September,461800008301201,274.6
,September,614400300,118.06
,September,151200032800305,114.42
,August,451103305330200,35.68
,October,151200020800305,144.04
,October,171406565400100,94.26
,October,471307506130200,46.03
,September,171406565400400,320.75
,August,471100056301526,21.22
,August,451100040400326,18.32
,August,171409090100700,301.75
,October,471100056400326,17.56
,September,171406565331000,527.31
,August,471104605610300,278.05
,August,612100716,145.38
,October,461800007110101,265.11
,October,471100056401000,276.0
,August,451100040130226,28.56
,August,6321102,411.82
,July,451100036330226,22.9
,August,471100063130200,223.92
,October,161800505130201,185.67
,September,612100716,282.72
,September,471104605400700,3.94
,July,612100716,8.0
,September,171406565350100,56.12
,September,161200010810502,36.14
,October,6411800,74.68
,November,471100068330200,680.37
,November,461800007530101,812.83
,September,471100045400700,6.16
,August,471100053400500,14.32
,October,471100071330226,192.71
,November,471100071610100,58.94
,November,6219103,751.35
,November,614100700,236.19
,September,151116038030099,57.24
,August,171100075130200,121.36
,August,161200008800102,19.5
,August,461800008301501,8.34
,August,171406565331000,155.74
,August,221014028400300,36.6
,September,461800007330201,57.99
,October,471104605130200,146.55
,September,171620075130200,113.44
,September,451100022330200,57.94
,July,981520000130200,107.66
,September,451100040330200,203.54
,July,451100022400304,29.36
,September,613400100,58.3
,September,615409900,49.44
,August,171406565400400,598.26
,October,471100063400326,4.22
,August,611050100,22.4
,September,471307508130200,65.57
,September,451100028400326,13.14
,July,171100060400330,11.78
,August,171409090210200,170.76
,September,613400400,103.19
,September,171407777330800,66.66
,July,461800008501401,61.77
,September,471100045400300,11.34
,September,614400100,151.44
,October,614400400,23.48
,October,612100716,216.94
,August,169900000999999,22.0
,September,612100516,59.1
,October,471100068400326,27.5
,August,471100058610300,1.28
,September,461800505310301,2.05
,August,171409090410300,70.91
,November,171406565100700,12432.15
,October,151116038030099,57.66
,November,471306508130200,278.84
,November,471104605610300,153.49
,November,161200012800101,1528.04
,July,611050100,25.78
,November,161200010810501,573.36
,July,451900032301501,25.42
,August,451100032400200,15.74
,August,161800012400301,3.63
,July,613100500,18.34
,November,161200012120201,639.5
,November,6211411,1031.38
,November,151116038030099,78.72
,November,171615075130200,121.11
,November,171406565211000,276.58
,July,471100045400500,49.44
,August,161800010301501,8.43
,November,461800505300101,441.28
,November,471100050331600,253.26
,October,615400700,34.36
,November,461800007520501,825.98
,November,151100016330200,494.71
,July,461800007520201,2.06
,September,171407777210200,24.73
,October,451100020130200,48.5
,November,171409090210100,1921.36
,August,171409090040000,10.18
,August,615210204,94.6
,September,171100090400300,9.8
,July,451900022400201,29.24
,October,612100600,30.94
,November,461800007301301,260.49
,July,614210200,32.2
,September,471100060330226,31.42
,September,451100040400326,37.76
,September,171100080020000,16.2
,October,615400400,29.7
,September,471100050400700,5.82
,September,451100032400300,7.58
,September,623405300,34.58
,September,451103305610300,35.18
,October,451100036020000,6.64
,September,614400700,15.02
,December,4500060,11730.02
,December,461800505310301,2192.69
,December,151200020800300,21891.25
,November,151100025400700,385.27
,November,161800010301501,1185.58
,November,461800007301601,1273.4
,November,171407777211000,429.71
,November,461800016301501,637.01
,November,451100020330200,325.22
,November,451900020330201,498.29
,November,461800014301501,62.39
,December,451100028400300,3240.17
,December,161800010330201,359.88
,December,614100500,136.04
,December,6321309,1732.22
,January,161200010800302,1470.55
,January,451100040330200,2211.29
,January,471100056400300,1327.53
,January,6313101,266498.06
,January,615100716,217.0
,January,471100045400100,123.54
,January,451100032400300,291.75
,February,451100040330200,1151.91
,February,161200008800302,665.84
,February,171406565400300,1932.56
,February,614400300,507.68
,February,161200008800301,21616.25
,December,461800505110101,1616.41
,December,451900025330201,619.91
,December,171100075330200,128.19
,December,171407777330800,88.48
,December,151200016800100,500.58
,December,171140090999910,968.05
,November,161800008301201,1250.35
,December,615100700,427.06
,December,171612565130205,579.51
,December,171407777400300,3180.16
,December,471708016700279,1272.48
,December,169900000999999,182.75
,January,451100020330200,2014.4
,January,171409090400300,697.55
,January,171409090331000,479.43
,January,471100063400300,805.3
,January,471100071400300,168.4
,February,6211601,2410.48
,December,461800007301501,93.59
,December,461800016330201,2983.43
,January,461800007530201,3702.97
,December,471100050331600,288.03
,January,171407777330850,268.91
,January,6211912,333.4
,January,461800914030099,189.62
,January,171100080330200,1570.55
,January,981200016800100,1562.93
,January,171620075130200,2998.25
,February,461800505301201,5538.15
,November,471100053330226,61.18
,December,461800505520201,1565.72
,January,171406565100704,62.1
,January,6318109,489.94
,November,6211904,29.3
,December,472115080130200,114.77
,February,6213200,738.6
,December,461800012130201,209.33
,December,471100071610100,270.59
,January,171100080400700,101.91
,February,451900022330201,157.15
,February,461800016301501,1006.25
,February,461800016330201,1440.4
,February,461800505520201,540.82
,February,471100045130200,213.92
,December,451100040130200,788.14
,November,461800012130201,310.23
,December,614410100,106.42
,January,471709025705279,499.58
,January,451100040610300,181.43
,February,451100020400700,104.23
,December,461800505330201,942.37
,January,451100028610300,31.64
,November,171100075330200,125.11
,January,612401000,27.62
,February,471100071130200,392.87
,February,461800008530201,484.76
,December,451100036400300,2419.98
,February,171610050130200,4592.03
,February,461800008325101,121.73
,December,471100053330200,269.03
,December,151200032800305,98.04
,February,6211912,167.2
,November,451100020400300,6.05
,November,981200020800300,15.1
,December,6211610,500.58
,December,471310010130200,26.86
,January,171615075130205,188.08
,February,6324302,679.79
,November,615211220,19507.03
,December,171409090400500,92.32
,February,171406565400600,34.56
,February,461800007520201,47.74
,February,161200010120201,164.4
,November,171100090130200,278.69
,December,471100045331600,549.22
,December,151200020810500,1.44
,November,471100063330226,24.6
,December,461801620030099,162.28
,January,471309006130200,107.26
,December,451100032400100,863.67
,December,471100056600200,146.59
,December,615211220,1009.75
,January,461800505520301,653.99
,November,471100050400326,13.82
,January,4500062,98.88
,February,6219105,34.96
,November,614301200,34.78
,December,451900032020001,35.1
,February,171409090100700,582.78
,November,171406565401000,110.35
,January,461800505501301,493.35
,February,151100016330200,25.39
,January,151100016330200,56.42
,February,451100040400500,58.38
,February,171407777331000,3682.66
,January,615400300,155.24
,December,171409090400600,63.52
,February,613400300,674.38
,January,171407777330800,14.76
,February,171409090220100,1297.86
,February,614100416,26.94
,February,461800012325201,544.04
,February,461800505400301,4.1
,February,615400100,28.38
,December,171100060330200,1.01
,January,161850514070099,10.54
,December,451100040400300,1085.76
,November,471100063401100,9.84
,December,171409090040000,5.32
,January,451100036332000,9.36
,March,461800010330201,1103.48
,March,451116045030096,156.96
,March,451100042130200,1447.57
,March,151200025800300,34804.13
,March,151200032800300,20211.37
,March,171100080400300,1157.62
,March,451100036400300,2157.77
,March,171407777331000,1994.78
,March,461800008530201,1843.45
,March,171406565410100,302.76
,March,461800008301601,119.82
,March,171100090400300,457.08
,March,451900020301501,235.82
,March,171409090100700,1260.23
,March,171406565400100,130.62
,March,451100042400100,113.87
,March,451100032330200,3104.44
,March,461800008330201,60.27
,March,171409090210200,648.6
,March,981200016800300,358.12
,March,171406565400300,1593.0
,March,461800505520101,870.62
